chr	start_promoter	end_promoter	strand	gene_name
chr11	124541694	124545694	+	SPA17
chr11	124607742	124611742	+	NRGN
chr11	124620134	124624134	-	VSIG2
chr11	124630186	124634186	-	ESAM
chr11	124668569	124672569	-	MSANTD2
chr11	124733282	124737282	+	ROBO3
chr11	124766396	124770396	-	ROBO4
chr11	124759200	124763200	+	RP11-664I21.6
chr11	124804308	124808308	-	HEPACAM
chr11	124787146	124791146	+	HEPN1
chr11	124822017	124826017	+	CCDC15
chr11	124930963	124934963	+	SLC37A2
chr11	124979659	124983659	-	TMEM218
chr11	125032583	125036583	+	PKNOX2
chr11	125364213	125368213	-	FEZ1
chr11	125363110	125367110	+	AP000708.1
chr11	125437112	125441112	+	EI24
chr11	125459607	125463607	+	STT3A
chr11	125493036	125497036	+	CHEK1
chr11	125549018	125553018	-	ACRV1
chr11	125614188	125618188	+	PATE1
chr11	125646714	125650714	-	PATE2
chr11	125656006	125660006	+	PATE3
chr11	125701211	125705211	+	PATE4
chr11	125751509	125755509	+	HYLS1
chr11	125771116	125775116	-	PUS3
chr11	125771271	125775271	+	DDX25
chr11	125931230	125935230	-	CDON
chr11	126079587	126083587	-	RPUSD4
chr11	126079309	126083309	+	FAM118B
chr11	126137039	126141039	-	SRPR
chr11	126136950	126140950	+	FOXRED1
chr11	126150960	126154960	+	TIRAP
chr11	126172213	126176213	-	RP11-712L6.5
chr11	126171647	126175647	+	DCPS
chr11	126223535	126227535	+	ST3GAL4
chr11	126871355	126875355	-	KIRREL3
chr11	128455453	128459453	-	ETS1
chr11	128554430	128558430	+	FLI1
chr11	128735268	128739268	-	KCNJ1
chr11	128759251	128763251	+	KCNJ5
chr11	128773930	128777930	-	C11orf45
chr11	128811040	128815040	-	TP53AIP1
chr11	129147219	129151219	-	ARHGAP32
chr11	129243835	129247835	+	BARX2
chr11	129683714	129687714	+	TMEM45B
chr11	129763485	129767485	-	NFRKB
chr11	129870730	129874730	-	PRDM10
chr11	129934836	129938836	+	AP003041.2
chr11	129937732	129941732	+	APLP2
chr11	130027457	130031457	+	ST14
chr11	130182581	130186581	-	ZBTB44
chr11	130296888	130300888	-	ADAMTS8
chr11	130316869	130320869	+	ADAMTS15
chr11	130540851	130544851	+	C11orf44
chr11	130784404	130788404	-	SNX19
chr11	131238373	131242373	+	NTM
chr11	133400414	133404414	-	OPCML
chr11	133713433	133717433	-	SPATA19
chr11	133824880	133828880	-	IGSF9B
chr11	133936820	133940820	+	JAM3
chr11	134093348	134097348	-	NCAPD3
chr11	134092539	134096539	+	VPS26B
chr11	134121264	134125264	-	THYN1
chr11	134121389	134125389	+	ACAD8
chr11	134142139	134146139	+	GLB1L3
chr11	134199768	134203768	+	GLB1L2
chr11	134279812	134283812	-	B3GAT1
chr11	134853246	134857246	+	AP003062.1
chr12	145052	149052	+	AC026369.1
chr12	173931	177931	+	IQSEC3
chr12	321736	325736	-	SLC6A12
chr12	370039	374039	-	SLC6A13
chr12	496620	500620	-	KDM5A
chr12	496439	500439	+	CCDC77
chr12	567530	571530	+	B4GALNT3
chr12	770945	774945	-	NINJ2
chr12	859759	863759	+	WNK1
chr12	1097219	1101219	-	RAD52
chr12	1097675	1101675	+	ERC1
chr12	1637057	1641057	+	WNT5B
chr12	1701331	1705331	-	FBXL14
chr12	1795740	1799740	+	ADIPOR2
chr12	2026002	2030002	-	CACNA2D4
chr12	1927433	1931433	+	LRTM2
chr12	2111701	2115701	-	DCP1B
chr12	2077952	2081952	+	CACNA1C
chr12	2902119	2906119	+	FKBP4
chr12	2919788	2923788	+	ITFG2
chr12	2942710	2946710	-	NRIP2
chr12	2964213	2968213	-	AC005841.1
chr12	2984206	2988206	-	FOXM1
chr12	2983424	2987424	+	RHNO1
chr12	2984389	2988389	+	TULP3
chr12	3066496	3070496	+	TEAD4
chr12	3184521	3188521	+	TSPAN9
chr12	3488515	3492515	+	PRMT8
chr12	3871985	3875985	-	EFCAB4B
chr12	3980608	3984608	-	PARP11
chr12	4380938	4384938	+	CCND2
chr12	4428371	4432371	+	C12orf5
chr12	4486894	4490894	-	FGF23
chr12	4552780	4556780	-	FGF6
chr12	4645674	4649674	-	C12orf4
chr12	4645950	4649950	+	RAD51AP1
chr12	4669370	4673370	+	DYRK4
chr12	4712110	4716110	+	RP11-500M8.7
chr12	4756213	4760213	-	AKAP3
chr12	4756261	4760261	+	NDUFA9
chr12	4764800	4768800	+	RP11-234B24.6
chr12	4827507	4831507	+	GALNT8
chr12	4916342	4920342	+	KCNA6
chr12	5017071	5021071	+	KCNA1
chr12	5151085	5155085	+	KCNA5
chr12	5539278	5543278	+	NTF3
chr12	6053398	6057398	-	ANO2
chr12	6231936	6235936	-	VWF
chr12	6306881	6310881	+	CD9
chr12	6417602	6421602	+	PLEKHG6
chr12	6449280	6453280	-	TNFRSF1A
chr12	6484896	6488896	-	SCNN1A
chr12	6482211	6486211	+	LTBR
chr12	6552033	6556033	+	CD27
chr12	6558856	6562856	+	TAPBPL
chr12	6578153	6582153	-	VAMP1
chr12	6601007	6605007	-	MRPL51
chr12	6600522	6604522	+	NCAPD2
chr12	6641093	6645093	+	GAPDH
chr12	6663239	6667239	-	IFFO1
chr12	6675857	6679857	-	NOP2
chr12	6714642	6718642	-	CHD4
chr12	6743613	6747613	-	LPAR5
chr12	6754626	6758626	-	ACRBP
chr12	6770314	6774314	-	ING4
chr12	6796738	6800738	-	ZNF384
chr12	6807966	6811966	-	PIANP
chr12	6830907	6834907	+	COPS7A
chr12	6874641	6878641	-	MLF2
chr12	6872682	6876682	+	PTMS
chr12	6879678	6883678	+	LAG3
chr12	6894024	6898024	+	CD4
chr12	6928711	6932711	+	GPR162
chr12	6947118	6951118	+	GNB3
chr12	6959230	6963230	-	CDCA3
chr12	6959292	6963292	+	USP5
chr12	6974283	6978283	+	TPI1
chr12	6996522	7000522	-	SPSB2
chr12	6980733	6984733	+	LRRC23
chr12	7020909	7024909	+	ENO2
chr12	7031626	7035626	+	ATN1
chr12	7050141	7054141	+	C12orf57
chr12	7053631	7057631	+	PTPN6
chr12	7070408	7074408	+	EMG1
chr12	7077988	7081988	-	PHB2
chr12	7123814	7127814	-	LPCAT3
chr12	7094351	7098351	+	C1S
chr12	7243203	7247203	-	C1R
chr12	7259869	7263869	-	C1RL
chr12	7279538	7283538	-	RBP5
chr12	7280294	7284294	+	CLSTN3
chr12	7339281	7343281	+	PEX5
chr12	7454880	7458880	+	ACSM4
chr12	7630493	7634493	-	CD163L1
chr12	7654489	7658489	-	CD163
chr12	7816499	7820499	-	APOBEC1
chr12	7846372	7850372	-	GDF3
chr12	7862050	7866050	+	DPPA3
chr12	7902201	7906201	-	CLEC4C
chr12	7915812	7919812	+	NANOGNB
chr12	7938390	7942390	+	NANOG
chr12	8041744	8045744	-	SLC2A14
chr12	8086871	8090871	-	SLC2A3
chr12	8183299	8187299	+	FOXJ2
chr12	8217067	8221067	-	C3AR1
chr12	8232807	8236807	+	NECAP1
chr12	8274228	8278228	+	CLEC4A
chr12	8288733	8292733	+	ZNF705A
chr12	8378214	8382214	-	FAM90A1
chr12	8606522	8610522	+	CLEC6A
chr12	8660071	8664071	+	CLEC4D
chr12	8691559	8695559	-	CLEC4E
chr12	8763467	8767467	-	AICDA
chr12	8813484	8817484	-	MFAP5
chr12	8832196	8836196	+	RIMKLB
chr12	8973068	8977068	+	A2ML1
chr12	9064492	9068492	+	PHC1
chr12	9100551	9104551	-	M6PR
chr12	9100640	9104640	+	KLRG1
chr12	9266825	9270825	-	A2M
chr12	9358966	9362966	-	PZP
chr12	9758482	9762482	-	KLRB1
chr12	9815565	9819565	+	CLEC2D
chr12	9883895	9887895	-	CLECL1
chr12	9911497	9915497	-	CD69
chr12	9978077	9982077	+	KLRF1
chr12	10020735	10024735	-	CLEC2B
chr12	10032088	10036088	+	KLRF2
chr12	10082980	10086980	-	CLEC2A
chr12	10101915	10105915	+	CLEC12A
chr12	10164023	10168023	-	CLEC1B
chr12	10161226	10165226	+	CLEC12B
chr12	10181276	10185276	+	CLEC9A
chr12	10262226	10266226	-	CLEC1A
chr12	10280857	10284857	-	CLEC7A
chr12	10322737	10326737	-	OLR1
chr12	10321141	10325141	+	TMEM52B
chr12	10363057	10367057	+	GABARAPL1
chr12	10376657	10380657	+	KLRD1
chr12	10560745	10564745	-	KLRC4-KLRK1
chr12	10542473	10546473	-	KLRK1
chr12	10560356	10564356	-	KLRC4
chr12	10586600	10590600	-	NKG2-E
chr12	10571194	10575194	-	KLRC3
chr12	10592899	10596899	-	KLRC2
chr12	10605284	10609284	-	KLRC1
chr12	10656201	10660201	+	EIF2S3L
chr12	10764222	10768222	-	MAGOHB
chr12	10824917	10828917	-	STYK1
chr12	10873911	10877911	-	YBX3
chr12	10953226	10957226	-	TAS2R7
chr12	10957892	10961892	-	TAS2R8
chr12	10960767	10964767	-	TAS2R9
chr12	11322212	11326212	-	PRR4
chr12	10976957	10980957	-	TAS2R10
chr12	11034854	11038854	-	PRH1
chr12	11060161	11064161	-	TAS2R13
chr12	11079835	11083835	+	PRH2
chr12	11322172	11326172	-	TAS2R14
chr12	11137511	11141511	-	TAS2R50
chr12	11148474	11152474	-	TAS2R20
chr12	11173219	11177219	-	TAS2R19
chr12	11182006	11186006	-	TAS2R31
chr12	11185087	11189087	+	AC018630.1
chr12	11212893	11216893	-	TAS2R46
chr12	11242912	11246912	-	TAS2R43
chr12	11285243	11289243	-	TAS2R30
chr12	11337543	11341543	-	TAS2R42
chr12	11420739	11424739	-	PRB3
chr12	11461369	11465369	-	PRB4
chr12	11546500	11550500	-	PRB1
chr12	11651975	11655975	-	PRB2
chr12	11800788	11804788	+	ETV6
chr12	12200778	12204778	+	BCL2L14
chr12	12417946	12421946	-	LRP6
chr12	12501475	12505475	-	MANSC1
chr12	12508001	12512001	-	LOH12CR2
chr12	12508013	12512013	+	LOH12CR1
chr12	12713317	12717317	-	DUSP16
chr12	12762761	12766761	+	CREBL2
chr12	12847141	12851141	-	GPR19
chr12	12865992	12869992	+	CDKN1B
chr12	12876851	12880851	+	APOLD1
chr12	12964250	12968250	+	DDX47
chr12	13041716	13045716	+	GPRC5A
chr12	13103081	13107081	-	GPRC5D
chr12	13151207	13155207	-	HEBP1
chr12	13195218	13199218	+	KIAA1467
chr12	13254619	13258619	-	GSG1
chr12	13347650	13351650	+	EMP1
chr12	13538101	13542101	-	C12orf36
chr12	14131053	14135053	-	GRIN2B
chr12	14516610	14520610	+	ATF7IP
chr12	14719283	14723283	-	PLBD1
chr12	14847519	14851519	-	GUCY2C
chr12	14922065	14926065	-	HIST4H4
chr12	14925270	14929270	+	H2AFJ
chr12	14954474	14958474	-	WBP11
chr12	14954506	14958506	+	C12orf60
chr12	14965116	14969116	-	SMCO3
chr12	14994429	14998429	-	ART4
chr12	15036860	15040860	-	MGP
chr12	15090016	15094016	-	ERP27
chr12	15112662	15116662	-	ARHGDIB
chr12	15123956	15127956	+	PDE6H
chr12	15499609	15503609	-	RERG
chr12	15473331	15477331	+	PTPRO
chr12	16033263	16037263	-	EPS8
chr12	16033325	16037325	+	STRAP
chr12	16062106	16066106	+	DERA
chr12	16428619	16432619	-	SLC15A5
chr12	16498076	16502076	+	MGST1
chr12	16761528	16765528	-	LMO3
chr12	18471041	18475041	-	RERGL
chr12	18398548	18402548	+	PIK3C2G
chr12	18888991	18892991	-	PLCZ1
chr12	18889045	18893045	+	CAPZA3
chr12	19280648	19284648	+	PLEKHA5
chr12	19554979	19558979	+	AEBP2
chr12	20520179	20524179	+	PDE3A
chr12	20846289	20850289	+	SLCO1C1
chr12	20961636	20965636	+	SLCO1B3
chr12	20966608	20970608	+	LST3
chr12	20966673	20970673	+	SLCO1B7
chr12	21198113	21202113	+	RP11-125O5.2
chr12	21282136	21286136	+	SLCO1B1
chr12	21570528	21574528	-	SLCO1A2
chr12	21505893	21509893	+	IAPP
chr12	21588549	21592549	+	PYROXD1
chr12	21652603	21656603	-	RECQL
chr12	21652715	21656715	+	GOLT1B
chr12	21677241	21681241	+	C12orf39
chr12	21755781	21759781	-	GYS2
chr12	21908791	21912791	-	LDHB
chr12	21926515	21930515	-	KCNJ8
chr12	22092336	22096336	-	ABCC9
chr12	22197108	22201108	+	CMAS
chr12	22587975	22591975	-	ST8SIA1
chr12	22695480	22699480	-	C2CD5
chr12	22776009	22780009	+	ETNK1
chr12	24101966	24105966	-	SOX5
chr12	25100393	25104393	-	BCAT1
chr12	25053243	25057243	+	AC026310.1
chr12	25148453	25152453	-	C12orf77
chr12	25171936	25175936	+	LRMP
chr12	25346096	25350096	-	CASC1
chr12	25346150	25350150	+	LYRM5
chr12	25401870	25405870	-	KRAS
chr12	25379515	25383515	+	AC087239.1
chr12	25799513	25803513	-	IFLTD1
chr12	26109962	26113962	+	RASSF8
chr12	26276060	26280060	-	BHLHE41
chr12	26272924	26276924	+	SSPN
chr12	26984131	26988131	-	ITPR2
chr12	27089259	27093259	-	ASUN
chr12	27089316	27093316	+	FGFR1OP2
chr12	27165367	27169367	-	TM7SF3
chr12	27173479	27177479	+	MED21
chr12	27233447	27237447	-	C12orf71
chr12	27394901	27398901	+	STK38L
chr12	27483787	27487787	+	ARNTL2
chr12	27617743	27621743	+	SMCO2
chr12	27674364	27678364	+	PPFIBP1
chr12	27847428	27851428	+	REP15
chr12	27861706	27865706	+	MRPS35
chr12	27922209	27926209	-	MANSC4
chr12	27930953	27934953	+	KLHL42
chr12	28123638	28127638	-	PTHLH
chr12	28284182	28288182	+	CCDC91
chr12	29300036	29304036	+	FAR2
chr12	29532122	29536122	-	ERGIC2
chr12	29540227	29544227	+	OVCH1-AS1
chr12	29648619	29652619	-	OVCH1
chr12	29935692	29939692	-	TMTC1
chr12	30846920	30850920	-	IPO8
chr12	30905885	30909885	-	CAPRIN2
chr12	31077362	31081362	+	TSPAN11
chr12	31224779	31228779	+	DDX11
chr12	31477992	31481992	-	FAM60A
chr12	31475250	31479250	+	AC024940.1
chr12	31742031	31746031	-	DENND5B
chr12	31798094	31802094	+	METTL20
chr12	31880108	31884108	-	AMN1
chr12	31943175	31947175	-	H3F3C
chr12	32110304	32114304	+	KIAA1551
chr12	32257769	32261769	+	BICD1
chr12	32550463	32554463	+	FGD4
chr12	32830134	32834134	+	DNM1L
chr12	32906836	32910836	-	YARS2
chr12	33047774	33051774	-	PKP2
chr12	33590754	33594754	-	SYT10
chr12	34173216	34177216	+	ALG10
chr12	38708380	38712380	+	ALG10B
chr12	39299232	39303232	-	CPNE8
chr12	39835192	39839192	-	KIF21A
chr12	40011553	40015553	-	ABCD2
chr12	40017969	40021969	+	C12orf40
chr12	40497891	40501891	-	SLC2A13
chr12	40588546	40592546	+	LRRK2
chr12	40785197	40789197	+	MUC19
chr12	41084244	41088244	+	CNTN1
chr12	41580250	41584250	+	PDZRN4
chr12	42536681	42540681	-	GXYLT1
chr12	42630151	42634151	-	YAF2
chr12	42622050	42626050	+	AC020629.1
chr12	42630249	42634249	+	PPHLN1
chr12	42717920	42721920	-	ZCRB1
chr12	42982157	42986157	-	PRICKLE1
chr12	43943724	43947724	-	ADAMTS20
chr12	44150620	44154620	-	PUS7L
chr12	44150747	44154747	+	IRAK4
chr12	44198178	44202178	-	TWF1
chr12	44227770	44231770	+	TMEM117
chr12	45313631	45317631	-	NELL2
chr12	45442882	45446882	-	DBX2
chr12	45607770	45611770	+	ANO6
chr12	46121448	46125448	+	ARID2
chr12	46383903	46387903	-	SCAF11
chr12	46661800	46665800	-	SLC38A1
chr12	46764650	46768650	-	SLC38A2
chr12	47224191	47228191	-	SLC38A4
chr12	47471734	47475734	-	AMIGO2
chr12	47471386	47475386	+	PCED1B
chr12	48097844	48101844	-	RPAP3
chr12	48117350	48121350	-	ENDOU
chr12	48162823	48166823	-	RAPGEF3
chr12	48145699	48149699	+	SLC48A1
chr12	48224915	48228915	-	HDAC7
chr12	48176706	48180706	+	AC004466.1
chr12	48334831	48338831	-	VDR
chr12	48355352	48359352	+	TMEM106C
chr12	48396269	48400269	-	COL2A1
chr12	48417165	48421165	-	RP1-228P16.5
chr12	48498091	48502091	-	SENP1
chr12	48496922	48500922	+	PFKM
chr12	48572996	48576996	-	ASB8
chr12	48575366	48579366	+	C12orf68
chr12	48590170	48594170	+	DKFZP779L1853
chr12	48595170	48599170	-	OR10AD1
chr12	48720763	48724763	+	H1FNT
chr12	48743197	48747197	-	ZNF641
chr12	48757919	48761919	+	AC024257.1
chr12	48864448	48868448	+	ANP32D
chr12	48874286	48878286	+	C12orf54
chr12	48899137	48903137	+	OR8S1
chr12	48961849	48965849	-	LALBA
chr12	49074021	49078021	-	KANSL2
chr12	49108681	49112681	-	CCNT1
chr12	49119218	49123218	+	LINC00935
chr12	49180820	49184820	-	ADCY6
chr12	49205577	49209577	+	CACNB3
chr12	49244625	49248625	-	DDX23
chr12	49257681	49261681	-	RND1
chr12	49349148	49353148	-	RP11-302B13.5
chr12	49295893	49299893	+	CCDC65
chr12	49318257	49322257	-	FKBP11
chr12	49331446	49335446	-	AC073610.5
chr12	49349334	49353334	-	ARF3
chr12	49363546	49367546	-	WNT10B
chr12	49370398	49374398	+	WNT1
chr12	49391092	49395092	-	DDN
chr12	49410980	49414980	-	PRKAG1
chr12	49451557	49455557	-	KMT2D
chr12	49461808	49465808	-	RHEBL1
chr12	49486602	49490602	-	DHH
chr12	49502683	49506683	-	LMBR1L
chr12	49523180	49527180	-	TUBA1B
chr12	49581107	49585107	-	TUBA1A
chr12	49580519	49584519	+	TUBA1C
chr12	49685035	49689035	+	PRPH
chr12	49715019	49719019	+	TROAP
chr12	49728971	49732971	-	C1QL4
chr12	49738700	49742700	+	DNAJC22
chr12	49758367	49762367	+	SPATS2
chr12	49930940	49934940	+	KCNH3
chr12	49959936	49963936	-	MCRS1
chr12	49960001	49964001	+	PRPF40B
chr12	49997422	50001422	-	FAM186B
chr12	50099948	50103948	-	FMNL3
chr12	50099508	50103508	+	TMBIM6
chr12	50220533	50224533	-	NCKAP5L
chr12	50234912	50238912	-	BCDIN3D
chr12	50296000	50300000	-	FAIM2
chr12	50342524	50346524	+	AQP2
chr12	50353653	50357653	+	AQP5
chr12	50358977	50362977	+	AQP6
chr12	50424919	50428919	-	RACGAP1
chr12	50449331	50453331	+	ASIC1
chr12	50476755	50480755	+	SMARCD1
chr12	50495602	50499602	+	GPD1
chr12	50503762	50507762	+	COX14
chr12	50559288	50563288	-	CERS5
chr12	50675329	50679329	-	LIMA1
chr12	50688489	50692489	+	AC140061.12
chr12	50788405	50792405	-	FAM186A
chr12	50784166	50788166	+	LARP4
chr12	50896768	50900768	+	DIP2B
chr12	51155493	51159493	+	ATF1
chr12	51234703	51238703	+	TMPRSS12
chr12	51315255	51319255	+	METTL7A
chr12	51345705	51349705	+	HIGD1C
chr12	51420349	51424349	-	SLC11A2
chr12	51439745	51443745	+	LETMD1
chr12	51475447	51479447	-	CSRNP2
chr12	51564926	51568926	-	TFCP2
chr12	51609477	51613477	-	POU6F1
chr12	51617860	51621860	+	AC139768.1
chr12	51630076	51634076	+	DAZAP2
chr12	51662674	51666674	-	SMAGP
chr12	51716452	51720452	-	BIN2
chr12	51738463	51742463	-	CELA1
chr12	51784651	51788651	-	GALNT6
chr12	51783101	51787101	+	SLC4A8
chr12	51982050	51986050	+	SCN8A
chr12	52201789	52205789	+	AC068987.1
chr12	52279744	52283744	+	ANKRD33
chr12	52298692	52302692	+	ACVRL1
chr12	52343451	52347451	+	ACVR1B
chr12	52398724	52402724	+	GRASP
chr12	52414616	52418616	+	NR4A1
chr12	52461030	52465030	+	C12orf44
chr12	52583784	52587784	-	KRT80
chr12	52624304	52628304	+	KRT7
chr12	52641084	52645084	+	KRT86
chr12	52683318	52687318	-	KRT81
chr12	52713182	52717182	-	KRT83
chr12	52707128	52711128	+	AC121757.1
chr12	52759265	52763265	-	KRT85
chr12	52777436	52781436	-	KRT84
chr12	52798139	52802139	-	KRT82
chr12	52826309	52830309	-	KRT75
chr12	52843910	52847910	-	KRT6B
chr12	52865569	52869569	-	KRT6C
chr12	52885041	52889041	-	KRT6A
chr12	52912471	52916471	-	KRT5
chr12	52920915	52924915	+	AC055736.1
chr12	52944931	52948931	-	KRT71
chr12	52965609	52969609	-	KRT74
chr12	52993322	52997322	-	KRT72
chr12	53010343	53014343	-	KRT73
chr12	53043948	53047948	-	KRT2
chr12	53072191	53076191	-	KRT1
chr12	53095247	53099247	-	KRT77
chr12	53169129	53173129	-	KRT76
chr12	53187901	53191901	-	KRT3
chr12	53206335	53210335	-	KRT4
chr12	53226079	53230079	-	KRT79
chr12	53240876	53244876	-	KRT78
chr12	53341738	53345738	-	KRT8
chr12	53340655	53344655	+	KRT18
chr12	53397942	53401942	+	EIF4B
chr12	53438753	53442753	+	TENC1
chr12	53471204	53475204	-	SPRYD3
chr12	53489220	53493220	+	IGFBP6
chr12	53495302	53499302	+	SOAT2
chr12	53573135	53577135	-	CSAD
chr12	53572484	53576484	+	ZNF740
chr12	53599091	53603091	-	ITGB7
chr12	53624764	53628764	-	RARG
chr12	53643035	53647035	+	MFSD5
chr12	53660083	53664083	+	ESPL1
chr12	53687075	53691075	+	PFDN5
chr12	53691470	53695470	+	C12orf10
chr12	53716648	53720648	-	AAAS
chr12	53737099	53741099	-	SP7
chr12	53771960	53775960	+	SP1
chr12	53815639	53819639	+	AMHR2
chr12	53833389	53837389	+	PRR13
chr12	53833525	53837525	+	PCBP2
chr12	53891847	53895847	-	MAP3K12
chr12	53892705	53896705	+	TARBP2
chr12	54017763	54021763	-	RP11-793H13.10
chr12	53899422	53903422	-	NPFF
chr12	54018199	54022199	-	ATF7
chr12	54069192	54073192	-	ATP5G2
chr12	54119529	54123529	-	CALCOCO1
chr12	54330535	54334535	+	HOXC13
chr12	54346618	54350618	+	HOXC12
chr12	54364910	54368910	+	HOXC11
chr12	54376849	54380849	+	HOXC10
chr12	54377629	54381629	+	RP11-834C11.12
chr12	54382408	54386408	+	HOXC6
chr12	54386679	54390679	+	HOXC9
chr12	54400832	54404832	+	HOXC8
chr12	54408715	54412715	+	HOXC4
chr12	54424637	54428637	+	HOXC5
chr12	54445661	54449661	+	HOXC4
chr12	54580778	54584778	-	SMUG1
chr12	54671886	54675886	-	CBX5
chr12	54671977	54675977	+	HNRNPA1
chr12	54692905	54696905	-	NFE2
chr12	54692986	54696986	+	COPZ1
chr12	54756271	54760271	-	GPR84
chr12	54783082	54787082	-	ZNF385A
chr12	54811244	54815244	-	ITGA5
chr12	54865386	54869386	-	GTSF1
chr12	54889495	54893495	+	NCKAP1L
chr12	54941134	54945134	+	PDE1B
chr12	54980443	54984443	-	PPP1R1A
chr12	55026679	55030679	-	LACRT
chr12	55040277	55044277	-	DCD
chr12	55222303	55226303	+	MUCL1
chr12	55376530	55380530	-	TESPA1
chr12	55411729	55415729	+	NEUROD4
chr12	55521465	55525465	+	OR9K2
chr12	55612809	55616809	+	OR10A7
chr12	55638982	55642982	+	OR6C74
chr12	55687016	55691016	-	OR6C6
chr12	55712346	55716346	+	OR6C1
chr12	55723485	55727485	+	OR6C3
chr12	55756895	55760895	+	OR6C75
chr12	55792214	55796214	+	OR6C65
chr12	55818038	55822038	+	OR6C76
chr12	55843998	55847998	+	OR6C2
chr12	55861922	55865922	-	OR6C70
chr12	55884147	55888147	+	OR6C68
chr12	55942983	55946983	+	OR6C4
chr12	55966199	55970199	+	OR2AP1
chr12	56028644	56032644	+	OR10P1
chr12	56073330	56077330	+	METTL7B
chr12	56107827	56111827	-	ITGA7
chr12	56107820	56111820	+	RP11-644F5.10
chr12	56107820	56111820	+	BLOC1S1
chr12	56112151	56116151	+	RDH5
chr12	56121491	56125491	-	CD63
chr12	56135064	56139064	+	GDF11
chr12	56209540	56213540	-	SARNP
chr12	56219330	56223330	-	RP11-762I7.5
chr12	56209703	56213703	+	ORMDL2
chr12	56222608	56226608	-	DNAJC14
chr12	56234750	56238750	-	MMP19
chr12	56324402	56328402	-	WIBG
chr12	56319103	56323103	+	DGKA
chr12	56365101	56369101	-	PMEL
chr12	56358553	56362553	+	CDK2
chr12	56365697	56369697	+	RAB5B
chr12	56388964	56392964	+	SUOX
chr12	56399443	56403443	+	IKZF4
chr12	56433637	56437637	+	RPS26
chr12	56471641	56475641	+	ERBB3
chr12	56493115	56497115	+	RP11-603J24.9
chr12	56496103	56500103	+	PA2G4
chr12	56508370	56512370	+	RPL41
chr12	56509943	56513943	+	ZC3H10
chr12	56510034	56514034	+	ESYT1
chr12	56544040	56548040	+	MYL6B
chr12	56549945	56553945	+	MYL6
chr12	56581351	56585351	-	SMARCC2
chr12	56613717	56617717	-	RNF41
chr12	56613799	56617799	+	NABP2
chr12	56621833	56625833	+	SLC39A5
chr12	56650175	56654175	-	ANKRD52
chr12	56658642	56662642	+	COQ10A
chr12	56692176	56696176	-	CS
chr12	56707843	56711843	-	RP11-977G19.10
chr12	56708120	56712120	-	CNPY2
chr12	56725837	56729837	-	PAN2
chr12	56730663	56734663	+	IL23A
chr12	56751939	56755939	-	STAT2
chr12	56754607	56758607	-	APOF
chr12	56841187	56845187	-	TIMELESS
chr12	56860950	56864950	-	MIP
chr12	56860301	56864301	+	SPRYD4
chr12	56880198	56884198	-	GLS2
chr12	56913713	56917713	+	RBMS2
chr12	57028600	57032600	-	BAZ2A
chr12	57037798	57041798	-	ATP5B
chr12	57080159	57084159	-	PTGES3
chr12	57123412	57127412	-	NACA
chr12	57144157	57148157	-	PRIM1
chr12	57143945	57147945	+	HSD17B6
chr12	57326189	57330189	-	SDR9C7
chr12	57351158	57355158	-	RDH16
chr12	57386230	57390230	+	GPR182
chr12	57388745	57392745	+	HBCBP
chr12	57398230	57402230	-	ZBTB39
chr12	57420667	57424667	-	TAC3
chr12	57442982	57446982	-	MYO1A
chr12	57479846	57483846	-	TMEM194A
chr12	57480677	57484677	+	NAB2
chr12	57523922	57527922	-	STAT6
chr12	57520276	57524276	+	LRP1
chr12	57608578	57612578	+	NXPH4
chr12	57621110	57625110	+	SHMT2
chr12	57632498	57636498	-	NDUFA4L2
chr12	57642976	57646976	-	STAC3
chr12	57822788	57826788	-	R3HDM2
chr12	57688267	57692267	-	RP11-123K3.4
chr12	57808198	57812198	+	AC126614.1
chr12	57826543	57830543	+	INHBC
chr12	57844106	57848106	+	INHBE
chr12	57851918	57855918	+	GLI1
chr12	57880597	57884597	-	ARHGAP9
chr12	57867228	57871228	+	MARS
chr12	57912300	57916300	-	DDIT3
chr12	57912493	57916493	+	MBD6
chr12	57939114	57943114	-	DCTN2
chr12	57941781	57945781	+	KIF5A
chr12	57982957	57986957	+	PIP4K2C
chr12	57996405	58000405	+	DTX3
chr12	58001963	58005963	+	ARHGEF25
chr12	58011310	58015310	+	SLC26A10
chr12	58025138	58029138	-	B4GALNT1
chr12	58085738	58089738	+	OS9
chr12	58133940	58137940	-	AGAP2
chr12	58118054	58122054	+	AGAP2-AS1
chr12	58129796	58133796	+	TSPAN31
chr12	58147796	58151796	-	CDK4
chr12	58146881	58150881	+	MARCH9
chr12	58160769	58164769	-	CYP27B1
chr12	58164576	58168576	-	METTL1
chr12	58163275	58167275	+	METTL21B
chr12	58164811	58168811	+	RP11-571M6.15
chr12	58174372	58178372	+	TSFM
chr12	58210487	58214487	-	AVIL
chr12	58238522	58242522	-	CTDSP2
chr12	58333324	58337324	+	XRCC6BP1
chr12	58935907	58939907	+	RP11-362K2.2
chr12	59312303	59316303	-	LRIG3
chr12	59915965	59919965	-	RP11-272B17.2
chr12	59987848	59991848	+	SLC16A7
chr12	62670931	62674931	-	FAM19A2
chr12	62652119	62656119	+	USP15
chr12	62858597	62862597	+	MON2
chr12	62995214	62999214	-	C12orf61
chr12	63326817	63330817	-	PPM1H
chr12	63542722	63546722	-	AVPR1A
