chr	start_promoter	end_promoter	strand	gene_name	gene_id
chr19	45079288	45305284	+	MARK4	ENSG00000007047.15
chr19	45091396	45148077	+	PPP1R37	ENSG00000104866.11
chr19	45149750	45158737	-	NKPD1	ENSG00000179846.9
chr19	45162928	45178237	-	TRAPPC6A	ENSG00000007255.10
chr19	45178784	45216933	+	BLOC1S3	ENSG00000189114.8
chr19	45212621	45245431	-	EXOC3L2	ENSG00000283632.3
chr19	45306413	45322875	-	CKM	ENSG00000104879.5
chr19	45333434	45351520	+	KLC3	ENSG00000104892.17
chr19	45349837	45370918	-	ERCC2	ENSG00000104884.16
chr19	45379638	45406349	-	PPP1R13L	ENSG00000104881.16
chr19	45406209	45410766	+	CD3EAP	ENSG00000117877.10
chr19	45407334	45478828	-	ERCC1	ENSG00000012061.16
chr19	45467995	45475179	+	FOSB	ENSG00000125740.14
chr19	45485294	45497055	-	RTN2	ENSG00000125744.12
chr19	45488777	45502510	+	PPM1N	ENSG00000213889.10
chr19	45506579	45526983	+	VASP	ENSG00000125753.14
chr19	45527427	45602212	-	OPA3	ENSG00000125741.5
chr19	45589764	45602212	-	GPR4	ENSG00000177464.5
chr19	45606994	45645629	-	EML2	ENSG00000125746.17
chr19	45668221	45683722	+	GIPR	ENSG00000010310.9
chr19	45687454	45692569	-	SNRPD2	ENSG00000125743.10
chr19	45692666	45703989	+	QPCTL	ENSG00000011478.12
chr19	45710629	45730896	-	FBXO46	ENSG00000177051.6
chr19	45733439	45764541	+	BHMG1	ENSG00000237452.3
chr19	45764785	45769252	-	SIX5	ENSG00000177045.10
chr19	45769709	45782552	-	DMPK	ENSG00000104936.18
chr19	45779437	45785973	-	AC011530.1	ENSG00000268434.5
chr19	45782947	45792845	-	DMWD	ENSG00000185800.12
chr19	45795713	45815308	-	RSPH6A	ENSG00000104941.8
chr19	45815410	45863194	-	SYMPK	ENSG00000125755.19
chr19	45863989	45873797	+	FOXA3	ENSG00000170608.3
chr19	45883608	45886141	-	IRF2BP1	ENSG00000170604.5
chr19	45890023	45902613	-	MYPOP	ENSG00000176182.6
chr19	45913214	45914778	-	NANOS2	ENSG00000188425.4
chr19	45933734	45973865	-	NOVA2	ENSG00000104967.7
chr19	45995461	46021318	+	CCDC61	ENSG00000104983.8
chr19	46019153	46023053	-	PGLYRP1	ENSG00000008438.5
chr19	46039748	46077118	-	IGFL4	ENSG00000204869.8
chr19	46120067	46124688	-	IGFL3	ENSG00000188624.3
chr19	46143106	46161299	+	IGFL2	ENSG00000204866.8
chr19	46229742	46231243	+	IGFL1	ENSG00000188293.6
chr19	46297046	46343433	+	HIF3A	ENSG00000124440.15
chr19	46347087	46392981	+	PPP5C	ENSG00000011485.15
chr19	46410329	46413564	-	CCDC8	ENSG00000169515.8
chr19	46424697	46428951	-	PNMA8C	ENSG00000277531.2
chr19	46466491	46471563	-	PNMA8A	ENSG00000182013.18
chr19	46480796	46601200	-	PPP5D1	ENSG00000230510.6
chr19	46486906	46495879	-	PNMA8B	ENSG00000204851.7
chr19	46601074	46610782	+	CALM3	ENSG00000160014.17
chr19	46620468	46625089	-	PTGIR	ENSG00000160013.9
chr19	46634076	46634685	-	GNG8	ENSG00000167414.4
chr19	46647551	46661182	-	DACT3	ENSG00000197380.11
chr19	46674275	46717127	-	PRKD2	ENSG00000105287.12
chr19	46719511	46746994	-	STRN4	ENSG00000090372.15
chr19	46746046	46776988	+	FKRP	ENSG00000181027.11
chr19	46774883	46788594	-	SLC1A5	ENSG00000105281.12
chr19	46838136	46850846	-	AP2S1	ENSG00000042753.12
chr19	46860997	47005077	+	ARHGAP35	ENSG00000160007.19
chr19	47019837	47045775	+	NPAS1	ENSG00000130751.10
chr19	47045909	47048624	-	TMEM160	ENSG00000130748.7
chr19	47064187	47113776	-	ZC3H4	ENSG00000130749.10
chr19	47113274	47210636	+	SAE1	ENSG00000142230.13
chr19	47220822	47232766	-	BBC3	ENSG00000105327.18
chr19	47255980	47273701	+	CCDC9	ENSG00000105321.14
chr19	47274885	47275723	+	INAFM1	ENSG00000257704.4
chr19	47290023	47322066	+	C5AR1	ENSG00000197405.8
chr19	47332175	47347329	+	C5AR2	ENSG00000134830.6
chr19	47349315	47382704	+	DHX34	ENSG00000134815.19
chr19	47403124	47419527	-	MEIS3	ENSG00000105419.18
chr19	47428017	47471893	-	SLC8A2	ENSG00000118160.14
chr19	47475150	47484265	-	KPTN	ENSG00000118162.14
chr19	47487637	47515091	-	NAPA	ENSG00000105402.8
chr19	47520685	47555856	-	ZNF541	ENSG00000118156.12
chr19	47608196	47703277	+	BICRA	ENSG00000063169.10
chr19	47713422	47743134	+	EHD2	ENSG00000024422.12
chr19	47745546	47757058	+	NOP53	ENSG00000105373.19
chr19	47778585	47784686	+	SELENOW	ENSG00000178980.15
chr19	47801243	47819051	-	TPRX1	ENSG00000178928.8
chr19	47819779	47843330	+	CRX	ENSG00000105392.16
chr19	47870467	47886315	-	SULT2A1	ENSG00000105398.4
chr19	47968046	47992170	-	BSPH1	ENSG00000188334.3
chr19	47994632	48025154	+	ELSPBP1	ENSG00000169393.9
chr19	48029383	48044079	-	CABP5	ENSG00000105507.3
chr19	48047843	48110817	-	PLA2G4C	ENSG00000105499.14
chr19	48115445	48170603	-	LIG1	ENSG00000105486.14
chr19	48170680	48197620	+	ZSWIM9	ENSG00000185453.13
chr19	48180770	48255946	-	CARD8	ENSG00000105483.18
chr19	48270081	48287608	+	ZNF114	ENSG00000178150.10
chr19	48296457	48321971	-	CCDC114	ENSG00000105479.16
chr19	48321509	48330553	+	EMP3	ENSG00000142227.11
chr19	48332356	48364059	-	TMEM143	ENSG00000161558.11
chr19	48364367	48376377	+	SYNGR4	ENSG00000105467.9
chr19	48382575	48391551	-	KDELR1	ENSG00000105438.9
chr19	48394875	48444931	+	GRIN2D	ENSG00000105464.3
chr19	48445841	48457022	+	GRWD1	ENSG00000105447.13
chr19	48455574	48466980	+	KCNJ14	ENSG00000182324.7
chr19	48465837	48472431	+	AC008403.1	ENSG00000268465.1
chr19	48469208	48482314	+	CYTH2	ENSG00000105443.15
chr19	48485271	48513935	-	LMTK3	ENSG00000142235.11
chr19	48552172	48599425	+	SULT2B1	ENSG00000088002.12
chr19	48600810	48614854	-	FAM83E	ENSG00000105523.3
chr19	48606742	48607714	+	SPACA4	ENSG00000177202.3
chr19	48615328	48619184	-	RPL18	ENSG00000063177.13
chr19	48619291	48630717	+	SPHK2	ENSG00000063176.16
chr19	48630030	48637379	-	DBP	ENSG00000105516.11
chr19	48637946	48646187	-	CA11	ENSG00000063180.9
chr19	48661407	48673081	-	NTN5	ENSG00000142233.12
chr19	48695971	48705951	+	FUT2	ENSG00000176920.13
chr19	48712725	48719725	-	MAMSTR	ENSG00000176909.12
chr19	48720585	48740610	-	RASIP1	ENSG00000105538.10
chr19	48740852	48746909	-	IZUMO1	ENSG00000182264.9
chr19	48748011	48755390	-	FUT1	ENSG00000174951.11
chr19	48755524	48758333	+	FGF21	ENSG00000105550.10
chr19	48795062	48811029	-	BCAT2	ENSG00000105552.15
chr19	48813018	48836510	-	HSD17B14	ENSG00000087076.9
chr19	48837097	48868617	-	PLEKHA4	ENSG00000105559.12
chr19	48872421	48876058	+	PPP1R15A	ENSG00000087074.8
chr19	48880967	48898744	-	TULP2	ENSG00000104804.8
chr19	48900312	48923372	+	NUCB1	ENSG00000104805.16
chr19	48933699	48944969	+	DHDH	ENSG00000104808.8
chr19	48954815	48961798	+	BAX	ENSG00000087088.20
chr19	48965309	48966879	+	FTL	ENSG00000087086.15
chr19	48968130	48993310	-	GYS1	ENSG00000104812.15
chr19	48993562	49015970	+	RUVBL2	ENSG00000183207.14
chr19	49015980	49017091	-	LHB	ENSG00000104826.15
chr19	49017496	49020523	-	AC008687.4	ENSG00000268655.2
chr19	49022869	49024333	-	CGB3	ENSG00000104827.12
chr19	49022953	49036895	-	AC008687.1	ENSG00000267335.2
chr19	49031912	49033238	+	CGB2	ENSG00000104818.14
chr19	49035610	49036895	-	CGB1	ENSG00000267631.4
chr19	49043848	49045311	+	CGB5	ENSG00000189052.7
chr19	49047638	49049106	-	CGB8	ENSG00000213030.5
chr19	49054275	49058860	-	CGB7	ENSG00000196337.11
chr19	49055793	49065076	-	AC008687.8	ENSG00000283663.1
chr19	49061066	49065054	-	NTF4	ENSG00000225950.8
chr19	49067418	49072941	-	KCNA7	ENSG00000104848.1
chr19	49085419	49108605	+	SNRNP70	ENSG00000104852.15
chr19	49114324	49118460	+	LIN7B	ENSG00000104863.12
chr19	49118402	49119143	-	C19orf73	ENSG00000221916.4
chr19	49119544	49151026	+	PPFIA3	ENSG00000177380.14
chr19	49151198	49155396	-	HRC	ENSG00000130528.12
chr19	49157741	49211836	+	TRPM4	ENSG00000130529.16
chr19	49289638	49325215	-	SLC6A16	ENSG00000063127.16
chr19	49335171	49343335	+	CD37	ENSG00000104894.12
chr19	49340595	49362457	-	TEAD2	ENSG00000074219.14
chr19	49361783	49375116	+	DKKL1	ENSG00000104901.7
chr19	49388219	49417990	+	CCDC155	ENSG00000161609.10
chr19	49422419	49423441	-	PTH2	ENSG00000142538.2
chr19	49423749	49428818	+	GFY	ENSG00000261949.5
chr19	49429401	49442360	-	SLC17A7	ENSG00000104888.10
chr19	49446298	49453497	-	PIH1D1	ENSG00000104872.11
chr19	49453225	49471050	+	ALDH16A1	ENSG00000161618.10
chr19	49462752	49486231	+	AC010619.2	ENSG00000269469.1
chr19	49474207	49486231	+	FLT3LG	ENSG00000090554.13
chr19	49487554	49492308	+	RPL13A	ENSG00000142541.17
chr19	49496365	49499708	+	RPS11	ENSG00000142534.7
chr19	49506816	49526428	+	FCGRT	ENSG00000104870.13
chr19	49528003	49546962	+	RCN3	ENSG00000142552.8
chr19	49555468	49590262	-	NOSIP	ENSG00000142546.14
chr19	49580646	49591004	+	PRRG2	ENSG00000126460.11
chr19	49591182	49626439	+	PRR12	ENSG00000126464.14
chr19	49635292	49640143	-	RRAS	ENSG00000126458.4
chr19	49642209	49658642	+	SCAF1	ENSG00000126461.15
chr19	49659569	49665875	-	IRF3	ENSG00000126456.16
chr19	49665142	49673916	+	BCL2L12	ENSG00000126453.9
chr19	49675786	49689029	+	PRMT1	ENSG00000126457.21
chr19	49688664	49690575	+	ADM5	ENSG00000224420.3
chr19	49690898	49713731	+	CPT1C	ENSG00000169169.14
chr19	49739753	49763306	-	TSKS	ENSG00000126467.11
chr19	49766968	49807113	+	AP2A1	ENSG00000196961.12
chr19	49806866	49817376	-	FUZ	ENSG00000010361.14
chr19	49818279	49840383	+	MED25	ENSG00000104973.18
chr19	49850735	49860744	+	PTOV1	ENSG00000104960.15
chr19	49859882	49878351	-	PNKP	ENSG00000039650.12
chr19	49869033	49878459	-	AKT1S1	ENSG00000204673.10
chr19	49877425	49888750	+	TBC1D17	ENSG00000104946.13
chr19	49889654	49929539	-	IL4I1	ENSG00000104951.16
chr19	49906825	49929763	-	NUP62	ENSG00000213024.12
chr19	49909501	49958391	-	AC011452.2	ENSG00000269179.1
chr19	49928702	49933935	+	ATF5	ENSG00000169136.11
chr19	49948985	49961172	-	SIGLEC11	ENSG00000161640.15
chr19	49976468	50025946	-	VRK3	ENSG00000105053.11
chr19	50025714	50053414	+	ZNF473	ENSG00000142528.16
chr19	50152548	50163195	-	IZUMO2	ENSG00000161652.12
chr19	50188186	50310542	+	MYH14	ENSG00000105357.18
chr19	50311937	50333515	-	KCNC3	ENSG00000131398.15
chr19	50329653	50383388	+	NR1H2	ENSG00000131408.15
chr19	50358477	50365830	-	NAPSA	ENSG00000131400.8
chr19	50384204	50418018	+	POLD1	ENSG00000062822.15
chr19	50415799	50428409	+	AC020909.1	ENSG00000142539.9
chr19	50418938	50431314	+	SPIB	ENSG00000269404.7
chr19	50432892	50466321	+	MYBPC2	ENSG00000086967.10
chr19	50466785	50476848	-	FAM71E1	ENSG00000142530.11
chr19	50476400	50490871	+	EMC10	ENSG00000161671.17
chr19	50505998	50511220	-	JOSD2	ENSG00000161677.12
chr19	50511600	50514690	-	ASPDH	ENSG00000204653.10
chr19	50516892	50568435	-	LRRC4B	ENSG00000131409.13
chr19	50621307	50639881	-	SYT3	ENSG00000213023.11
chr19	50649445	50659310	+	C19orf81	ENSG00000235034.7
chr19	50661827	50719450	-	SHANK1	ENSG00000161681.15
chr19	50723364	50725718	+	CLEC11A	ENSG00000105472.13
chr19	50770464	50771732	+	GPR32	ENSG00000142511.4
chr19	50776141	50793142	-	AC010325.1	ENSG00000261341.6
chr19	50790415	50795219	+	ACP4	ENSG00000142513.6
chr19	50797704	50804929	-	C19orf48	ENSG00000167747.14
chr19	50819146	50823787	-	KLK1	ENSG00000167748.11
chr19	50825289	50837213	-	KLK15	ENSG00000174562.13
chr19	50854915	50860764	+	KLK3	ENSG00000142515.15
chr19	50861568	50880567	+	KLK2	ENSG00000167751.13
chr19	50906352	50910738	-	KLK4	ENSG00000167749.11
chr19	50943303	50953093	-	KLK5	ENSG00000167754.13
chr19	50958631	50969673	-	KLK6	ENSG00000167755.15
chr19	50976468	50984099	-	KLK7	ENSG00000169035.12
chr19	50996007	51002711	-	KLK8	ENSG00000129455.15
chr19	50996018	51009581	-	AC011473.4	ENSG00000269741.5
chr19	51002508	51009634	-	KLK9	ENSG00000213022.6
chr19	51012739	51020175	-	KLK10	ENSG00000129451.12
chr19	51022216	51028039	-	KLK11	ENSG00000167757.14
chr19	51029092	51035230	-	KLK12	ENSG00000186474.15
chr19	51055626	51065114	-	KLK13	ENSG00000167759.13
chr19	51077495	51084245	-	KLK14	ENSG00000129437.10
chr19	51097606	51108409	-	CTU1	ENSG00000142544.7
chr19	51124908	51136651	+	SIGLEC9	ENSG00000129450.8
chr19	51142299	51153526	+	SIGLEC7	ENSG00000168995.13
chr19	51225064	51243860	+	CD33	ENSG00000105383.15
chr19	51246348	51269330	+	SIGLECL1	ENSG00000179213.13
chr19	51311848	51330354	+	IGLON5	ENSG00000142549.9
chr19	51331536	51342124	-	VSIG10L	ENSG00000186806.5
chr19	51345169	51366388	-	ETFB	ENSG00000105379.10
chr19	51350373	51368099	-	AC008750.8	ENSG00000269403.1
chr19	51367098	51369003	-	CLDND2	ENSG00000160318.6
chr19	51371606	51372701	-	NKG7	ENSG00000105374.10
chr19	51379909	51387974	-	LIM2	ENSG00000105370.8
chr19	51388289	51390591	-	C19orf84	ENSG00000262874.2
chr19	51410020	51417803	-	SIGLEC10	ENSG00000142512.15
chr19	51450847	51458456	-	SIGLEC8	ENSG00000105366.15
chr19	51478622	51490952	+	CEACAM18	ENSG00000213822.6
chr19	51491227	51501800	-	SIGLEC12	ENSG00000254521.7
chr19	51517819	51531856	-	SIGLEC6	ENSG00000105492.16
chr19	51571283	51592510	+	ZNF175	ENSG00000105497.8
chr19	51611927	51645545	-	SIGLEC5	ENSG00000105501.12
chr19	51612091	51646889	-	AC018755.2	ENSG00000268500.5
chr19	51642553	51646801	-	SIGLEC14	ENSG00000254415.3
chr19	51689128	51712387	+	SPACA6	ENSG00000182310.14
chr19	51713112	51723991	-	HAS1	ENSG00000105509.11
chr19	51745172	51804110	-	FPR1	ENSG00000171051.8
chr19	51752026	51770531	+	FPR2	ENSG00000171049.9
chr19	51795157	51826190	+	FPR3	ENSG00000187474.5
chr19	51804816	51890950	-	ZNF577	ENSG00000161551.14
chr19	51889235	51905040	-	ZNF649	ENSG00000198093.11
chr19	51927147	51948759	+	ZNF613	ENSG00000176024.18
chr19	51964340	51986856	-	ZNF350	ENSG00000256683.7
chr19	51991332	52008230	-	ZNF615	ENSG00000197619.14
chr19	52012765	52030240	-	ZNF614	ENSG00000142556.19
chr19	52031378	52095738	-	ZNF432	ENSG00000256087.7
chr19	52064466	52095765	-	ZNF841	ENSG00000197608.11
chr19	52113091	52139938	-	ZNF616	ENSG00000204611.7
chr19	52153864	52171643	-	ZNF836	ENSG00000196267.12
chr19	52190048	52229518	+	PPP2R1A	ENSG00000105568.18
chr19	52269587	52296046	+	ZNF766	ENSG00000196214.11
chr19	52297169	52325922	+	ZNF480	ENSG00000198464.14
chr19	52336243	52367778	+	ZNF610	ENSG00000167554.15
chr19	52369917	52385795	+	ZNF880	ENSG00000221923.9
chr19	52397849	52418412	+	ZNF528	ENSG00000167555.14
chr19	52429187	52452315	+	ZNF534	ENSG00000198633.10
chr19	52453553	52516882	+	ZNF578	ENSG00000258405.11
chr19	52527652	52564464	+	ZNF808	ENSG00000198482.13
chr19	52555457	52587174	+	ZNF701	ENSG00000167562.12
chr19	52594060	52690496	-	ZNF83	ENSG00000167766.18
chr19	52702813	52735073	-	ZNF611	ENSG00000213020.10
chr19	52749942	52786807	-	ZNF600	ENSG00000189190.10
chr19	52797408	52857600	-	ZNF28	ENSG00000198538.11
chr19	52838010	52857649	-	ZNF468	ENSG00000204604.12
chr19	52860851	52897693	-	ZNF320	ENSG00000182986.14
chr19	52904417	52923481	-	ZNF888	ENSG00000213793.5
chr19	52928475	52962823	-	ZNF816-ZNF321P	ENSG00000221874.4
chr19	52949379	52962911	-	ZNF816	ENSG00000180257.13
chr19	53013921	53016122	+	ERVV-1	ENSG00000269526.1
chr19	53044740	53051680	+	ERVV-2	ENSG00000268964.3
chr19	53066606	53103436	-	ZNF160	ENSG00000170949.17
chr19	53107879	53133077	-	ZNF415	ENSG00000170954.11
chr19	53124072	53159075	-	ZNF347	ENSG00000197937.12
chr19	53159213	53193386	-	ZNF665	ENSG00000197497.11
chr19	53235381	53254898	-	ZNF677	ENSG00000197928.10
chr19	53258292	53261837	+	VN1R2	ENSG00000196131.6
chr19	53266676	53267723	-	VN1R4	ENSG00000228567.3
chr19	53333749	53356906	+	ZNF845	ENSG00000213799.13
chr19	53365693	53392217	+	ZNF525	ENSG00000203326.12
chr19	53389793	53430413	+	ZNF765	ENSG00000196417.13
chr19	53431984	53461862	+	AC022137.3	ENSG00000286261.1
chr19	53445001	53458261	+	ZNF761	ENSG00000160336.15
chr19	53467733	53496255	+	ZNF813	ENSG00000198346.11
chr19	53519527	53580269	+	ZNF331	ENSG00000130844.18
chr19	53632056	53637009	+	DPRX	ENSG00000204595.1
chr19	53793741	53824394	-	NLRP12	ENSG00000142405.22
chr19	53864763	53876435	+	MYADM	ENSG00000179820.16
chr19	53879190	53907652	+	PRKCG	ENSG00000126583.11
chr19	53909335	53943941	+	CACNG7	ENSG00000105605.7
chr19	53963040	53990215	+	CACNG8	ENSG00000142408.5
chr19	53992288	54012669	+	CACNG6	ENSG00000130433.7
chr19	54040825	54063953	-	VSTM1	ENSG00000189068.11
chr19	54069895	54081365	-	TARM1	ENSG00000248385.8
chr19	54094668	54102692	-	OSCAR	ENSG00000170909.13
chr19	54102728	54109257	+	NDUFA3	ENSG00000170906.16
chr19	54107013	54115675	-	TFPT	ENSG00000105619.13
chr19	54115410	54131719	+	PRPF31	ENSG00000105618.14
chr19	54137749	54155681	+	CNOT3	ENSG00000088038.19
chr19	54155161	54159721	-	LENG1	ENSG00000105617.4
chr19	54160108	54173250	-	TMC4	ENSG00000167608.11
chr19	54173412	54189882	-	MBOAT7	ENSG00000125505.17
chr19	54189938	54194536	+	TSEN34	ENSG00000170892.12
chr19	54200809	54249003	+	RPS9	ENSG00000170889.14
chr19	54216278	54223506	-	LILRB3	ENSG00000204577.11
chr19	54236592	54242791	-	LILRA6	ENSG00000244482.10
chr19	54249421	54257301	-	LILRB5	ENSG00000105609.17
chr19	54273821	54281184	-	LILRB2	ENSG00000131042.14
chr19	54307070	54313166	-	LILRA5	ENSG00000187116.14
chr19	54333185	54339162	-	LILRA4	ENSG00000239961.3
chr19	54351384	54370558	-	LAIR1	ENSG00000167613.16
chr19	54415219	54436904	+	TTYH1	ENSG00000167614.14
chr19	54448887	54462037	+	LENG8	ENSG00000167615.16
chr19	54461732	54463778	-	LENG9	ENSG00000275183.2
chr19	54465026	54473296	-	CDC42EP5	ENSG00000167617.3
chr19	54497879	54510687	+	LAIR2	ENSG00000167618.10
chr19	54572920	54590287	+	LILRA2	ENSG00000239998.6
chr19	54593582	54602381	+	LILRA1	ENSG00000104974.12
chr19	54617158	54637528	+	LILRB1	ENSG00000104972.15
chr19	54643889	54670359	+	LILRB4	ENSG00000186818.12
chr19	54724479	54736536	+	KIR3DL3	ENSG00000242019.1
chr19	54738513	54753052	+	KIR2DL3	ENSG00000243772.8
chr19	54769793	54784322	+	KIR2DL1	ENSG00000125498.20
chr19	54803535	54814517	+	KIR2DL4	ENSG00000189013.14
chr19	54816468	54830778	+	KIR3DL1	ENSG00000167633.18
chr19	54850443	54867207	+	KIR3DL2	ENSG00000240403.5
chr19	54874235	54891420	+	FCAR	ENSG00000186431.19
chr19	54906148	54916140	+	NCR1	ENSG00000189430.13
chr19	54923509	54966312	-	NLRP7	ENSG00000167634.12
chr19	54953130	55001142	+	NLRP2	ENSG00000022556.16
chr19	55013705	55038264	-	GP6	ENSG00000088053.11
chr19	55039108	55071291	-	RDH13	ENSG00000160439.16
chr19	55072020	55087923	+	EPS8L1	ENSG00000131037.15
chr19	55090914	55117637	-	PPP1R12C	ENSG00000125503.13
chr19	55132698	55149206	-	TNNT1	ENSG00000105048.17
chr19	55151767	55157773	-	TNNI3	ENSG00000129991.13
chr19	55154757	55160671	-	AC010327.2	ENSG00000267110.1
chr19	55158661	55166722	-	DNAAF3	ENSG00000167646.14
chr19	55171196	55180289	-	SYT5	ENSG00000129990.15
chr19	55181247	55209506	-	PTPRH	ENSG00000080031.10
chr19	55226638	55228784	-	TMEM86B	ENSG00000180089.6
chr19	55229779	55259017	-	PPP6R1	ENSG00000105063.19
chr19	55262223	55280381	-	HSPBP1	ENSG00000133265.11
chr19	55282072	55312562	+	BRSK1	ENSG00000160469.17
chr19	55312801	55334048	-	TMEM150B	ENSG00000180061.10
chr19	55339853	55348121	+	KMT5C	ENSG00000133247.14
chr19	55349306	55354719	-	COX6B2	ENSG00000160471.13
chr19	55352301	55359516	-	AC020922.1	ENSG00000267706.3
chr19	55354908	55363260	-	FAM71E2	ENSG00000180043.11
chr19	55364382	55370463	-	IL11	ENSG00000095752.7
chr19	55376826	55378246	+	TMEM190	ENSG00000160472.5
chr19	55379244	55384292	-	TMEM238	ENSG00000233493.4
chr19	55385932	55403250	+	RPL28	ENSG00000108107.15
chr19	55399745	55407788	-	UBE2S	ENSG00000108106.14
chr19	55428740	55442863	-	SHISA7	ENSG00000187902.11
chr19	55452985	55462343	-	ISOC2	ENSG00000063241.8
chr19	55463002	55464707	-	C19orf85	ENSG00000283567.1
chr19	55476617	55484487	+	ZNF628	ENSG00000197483.10
chr19	55485188	55487568	+	NAT14	ENSG00000090971.5
chr19	55488404	55519099	+	SSC5D	ENSG00000179954.16
chr19	55528611	55537133	-	SBK2	ENSG00000187550.9
chr19	55540656	55545543	-	SBK3	ENSG00000231274.5
chr19	55576774	55580848	-	ZNF579	ENSG00000218891.5
chr19	55591376	55601970	-	FIZ1	ENSG00000179943.8
chr19	55600022	55603138	+	ZNF524	ENSG00000171443.7
chr19	55605405	55617269	+	ZNF865	ENSG00000261221.3
chr19	55620741	55624566	-	ZNF784	ENSG00000179922.6
chr19	55635016	55643470	+	ZNF580	ENSG00000213015.9
chr19	55635459	55645623	+	ZNF581	ENSG00000171425.10
chr19	55641062	55653161	+	CCDC106	ENSG00000173581.8
chr19	55654146	55674715	+	U2AF2	ENSG00000063244.12
chr19	55675226	55709858	+	EPN1	ENSG00000063245.15
chr19	55708438	55738402	-	NLRP9	ENSG00000185792.10
chr19	55759014	55763175	+	RFPL4A	ENSG00000223638.3
chr19	55769118	55773420	+	RFPL4AL1	ENSG00000229292.2
chr19	55785397	55836800	-	NLRP11	ENSG00000179873.14
chr19	55836540	55881855	+	NLRP4	ENSG00000160505.16
chr19	55891699	55932336	-	NLRP13	ENSG00000173572.11
chr19	55947832	55988629	+	NLRP8	ENSG00000179709.8
chr19	55999726	56061810	+	NLRP5	ENSG00000171487.15
chr19	56087366	56121295	-	ZNF787	ENSG00000142409.6
chr19	56132599	56160893	+	ZNF444	ENSG00000167685.15
chr19	56176008	56185775	+	GALP	ENSG00000197487.9
chr19	56189570	56197920	-	ZSCAN5B	ENSG00000197213.9
chr19	56202301	56209452	+	ZSCAN5C	ENSG00000204532.6
chr19	56219670	56368383	-	ZSCAN5A	ENSG00000131848.9
chr19	56272748	56310454	+	EDDM13	ENSG00000267710.9
chr19	56375846	56393545	-	ZNF582	ENSG00000018869.16
chr19	56397966	56436035	+	ZNF583	ENSG00000198440.9
chr19	56439325	56478065	-	ZNF667	ENSG00000198046.12
chr19	56507850	56530221	+	ZNF471	ENSG00000196263.8
chr19	56538948	56556808	+	ZFP28	ENSG00000196867.8
chr19	56567468	56588911	+	ZNF470	ENSG00000197016.12
chr19	56595264	56626481	+	ZNF71	ENSG00000197951.9
chr19	56643159	56657247	+	SMIM17	ENSG00000268182.6
chr19	56661980	56671783	-	ZNF835	ENSG00000127903.14
chr19	56774547	56840729	-	ZIM2	ENSG00000269699.6
chr19	56810077	56840728	-	PEG3	ENSG00000198300.14
chr19	57119138	57131926	+	USP29	ENSG00000131864.10
chr19	57134096	57145202	-	ZIM3	ENSG00000141946.1
chr19	57154021	57167485	-	DUXA	ENSG00000258873.3
chr19	57191500	57222846	+	ZNF264	ENSG00000083844.10
chr19	57230802	57235548	+	AURKC	ENSG00000105146.13
chr19	57240632	57262728	+	ZNF805	ENSG00000204524.7
chr19	57280051	57294069	+	ZNF460	ENSG00000197714.9
chr19	57320472	57330770	+	ZNF543	ENSG00000178229.8
chr19	57351307	57359898	+	ZNF304	ENSG00000131845.14
chr19	57363477	57379565	+	ZNF547	ENSG00000152433.15
chr19	57363551	57365405	+	TRAPPC2B	ENSG00000256060.3
chr19	57363566	57398584	+	AC003002.1	ENSG00000268133.1
chr19	57389850	57402992	+	ZNF548	ENSG00000188785.12
chr19	57389884	57419994	+	AC003002.3	ENSG00000269533.5
chr19	57394183	57438457	+	AC003002.2	ENSG00000268533.1
chr19	57411163	57421939	+	ZNF17	ENSG00000186272.12
chr19	57435325	57447101	+	ZNF749	ENSG00000186230.7
chr19	57437970	57477536	-	AC004076.1	ENSG00000268163.1
chr19	57454790	57457142	-	VN1R1	ENSG00000178201.4
chr19	57466663	57477570	-	ZNF772	ENSG00000197128.11
chr19	57487711	57496097	+	ZNF419	ENSG00000105136.20
chr19	57487718	57517559	+	AC003005.1	ENSG00000268107.6
chr19	57499915	57518404	+	ZNF773	ENSG00000152439.13
chr19	57527325	57557542	+	ZNF549	ENSG00000121406.9
chr19	57535257	57559863	-	ZNF550	ENSG00000251369.8
chr19	57571566	57578911	-	ZNF416	ENSG00000083817.9
chr19	57578456	57593890	+	ZIK1	ENSG00000171649.12
chr19	57599885	57612722	+	ZNF530	ENSG00000183647.10
chr19	57614233	57624724	+	ZNF134	ENSG00000213762.12
chr19	57630395	57644041	+	ZNF211	ENSG00000121417.14
chr19	57668935	57679152	+	ZSCAN4	ENSG00000180532.10
chr19	57681969	57717301	+	ZNF551	ENSG00000204519.11
chr19	57682045	57753575	+	AC003006.1	ENSG00000269026.2
chr19	57697367	57709194	-	ZNF154	ENSG00000179909.15
chr19	57719751	57727624	-	ZNF671	ENSG00000083814.13
chr19	57746815	57758148	+	ZNF776	ENSG00000152443.13
chr19	57769655	57819939	+	ZNF586	ENSG00000083828.16
chr19	57803841	57814913	-	ZNF552	ENSG00000178935.5
chr19	57819719	57858941	+	AC010522.1	ENSG00000268750.7
chr19	57819721	57846238	+	ZNF587B	ENSG00000269343.8
chr19	57848731	57889074	-	ZNF814	ENSG00000204514.10
chr19	57849859	57865117	+	ZNF587	ENSG00000198466.12
chr19	57876765	57916591	-	AC010326.2	ENSG00000269476.1
chr19	57900296	57916610	-	ZNF417	ENSG00000173480.11
